Size,SIMD Mult, Manual Mult, SIMD Mult/Reduction, Manual Mult/Reduction
1000,698.812526,165.398593,821.693701,183.083013,
2000,541.565182,173.988776,905.794741,187.336115,
3000,483.325042,171.301276,923.930365,187.840420,
4000,556.870390,173.807252,901.713547,187.643676,
5000,600.023896,173.683461,906.947156,186.999762,
6000,636.672177,177.069497,909.641542,187.038257,
7000,600.497510,175.857322,914.434305,187.095740,
8000,682.419113,174.299536,910.954141,187.178283,
9000,706.713810,175.589199,911.022995,187.332171,
10000,724.480138,153.595683,966.370511,198.294678,
11000,771.767506,158.730150,914.228993,187.243609,
12000,700.320822,172.850886,917.501375,157.207989,
13000,428.576115,172.824070,913.499049,187.325273,
14000,285.842583,183.922537,965.184429,198.395832,
15000,551.693804,185.301871,968.679456,198.286801,
16000,498.147485,183.357965,967.293277,198.319242,
17000,471.384246,184.072338,965.360579,198.465982,
18000,462.190272,185.169942,968.158356,198.406140,
19000,448.070889,183.263242,970.328433,198.439645,
20000,433.943018,183.056312,971.581199,198.465854,
21000,426.629866,184.921017,971.817411,198.532759,
22000,393.876990,184.271574,969.974839,198.548786,
23000,396.544874,183.979398,978.848391,198.609732,
24000,397.660439,185.469973,977.039412,198.563728,
25000,389.711607,186.232230,975.457473,198.551364,
26000,385.928467,184.884946,972.944695,198.688650,
27000,382.138531,174.498638,978.863703,198.691579,
28000,371.683049,184.708753,979.397730,198.698525,
29000,375.764475,183.668693,979.928217,198.719972,
30000,368.890252,184.127024,979.495948,198.704440,
31000,367.198505,184.974139,977.671101,198.818633,
32000,361.847680,184.543342,980.452138,198.761469,
33000,346.908308,185.209093,984.868836,198.841898,
34000,278.560659,182.948151,1001.443237,199.380746,
35000,290.335957,184.888778,1000.171403,179.700052,
36000,271.774006,193.450619,1057.610510,198.598776,
37000,305.987434,194.766565,180.268849,200.295576,
38000,275.597972,178.635226,1002.691331,199.305575,
39000,262.767814,184.318731,1002.622320,199.358985,
40000,262.078541,179.548522,854.993160,184.883890,
41000,286.693249,175.264603,870.654792,186.142805,
42000,303.801870,194.412944,1059.535845,210.438762,
43000,344.082580,193.591666,1041.767658,210.064529,
44000,305.867792,194.421863,1059.475030,210.464889,
45000,308.872882,194.347505,1058.101576,210.412129,
46000,306.838498,194.578858,1057.787344,210.369380,
47000,308.016968,194.085755,1060.277916,210.460327,
48000,295.878049,194.067201,1058.784596,210.363008,
49000,306.688949,195.043504,1058.086962,210.453983,
50000,304.475171,194.629022,1057.663846,210.483773,
51000,308.619562,193.938470,1054.328960,210.459422,
52000,308.975745,195.139522,1057.899556,210.451332,
53000,309.225418,190.549465,1057.356692,210.471974,
54000,307.715097,194.341775,1057.310075,210.468056,
55000,308.427356,194.396433,1057.305973,210.442543,
56000,307.105087,194.984716,1057.621506,210.431386,
57000,306.722048,193.606895,1058.948047,210.447036,
58000,302.830947,188.113194,1111.558313,221.513551,
59000,317.344210,204.005421,1092.835477,220.002313,
60000,320.058048,204.747408,1108.852304,220.600399,
61000,319.961390,204.771513,1115.969284,221.552319,
62000,320.152019,204.038650,1110.494200,220.693187,
63000,298.972107,204.038009,1113.605418,221.267683,
64000,321.033729,204.008124,1114.943844,221.556784,
65000,323.156387,204.528573,1115.324527,221.564724,
66000,318.168892,204.282504,1114.413155,221.515906,
67000,322.513881,199.936741,1114.345125,221.582826,
68000,322.253492,204.625747,1115.010004,221.545999,
69000,319.624967,204.582650,1112.741707,221.557909,
70000,316.820934,204.263861,1113.373188,221.614364,
71000,320.053378,204.361832,906.907810,232.629001,
72000,336.327593,214.316332,1170.865055,232.713734,
73000,336.990998,215.048697,1170.284401,232.653750,
74000,334.706846,213.590722,1168.371933,232.674405,
75000,337.506417,214.841848,1170.649401,229.717478,
76000,335.511210,214.433645,1171.321134,232.637158,
77000,337.860081,213.335992,1170.337278,232.650888,
78000,337.198141,214.108074,1170.942610,232.644844,
79000,335.631769,213.976745,1098.534349,74.591845,
80000,331.466077,214.540483,1169.300013,232.650793,
81000,336.109345,215.202315,1169.607444,232.702450,
82000,335.298780,215.216880,1169.273690,230.043064,
83000,348.274150,225.667963,1226.830633,243.707641,
84000,348.677932,225.282611,1226.940108,243.689457,
85000,352.479175,225.307014,1225.207544,243.722702,
86000,381.373037,223.484011,1213.866302,243.408169,
87000,351.380275,224.238359,1226.820764,243.728885,
88000,353.532914,225.143976,1226.874097,243.751107,
89000,352.837168,224.919004,1224.697633,243.716093,
90000,348.612907,224.947136,1225.156490,243.739945,
91000,353.371983,224.727424,1225.539782,243.776338,
92000,353.373174,225.542709,1224.984322,243.693114,
93000,354.347810,218.202296,1278.930570,254.802896,
94000,371.632574,234.744128,1279.538312,254.571452,
95000,369.823924,233.824854,1281.394174,254.832424,
96000,369.654451,234.526161,1280.768431,254.892069,
97000,363.539601,234.789514,1281.086179,254.830614,
98000,370.073865,235.957518,1278.372053,254.611588,
99000,366.933027,234.528242,1280.923280,254.834786,
100000,363.613882,233.004643,1281.328444,254.814076,
101000,370.383955,235.696600,1282.002471,254.793139,
102000,370.434931,235.174226,1280.409838,254.850913,
103000,369.392762,234.152108,1281.461203,255.127947,
104000,383.555783,245.898347,1337.620533,265.889453,
105000,380.614058,245.336846,1337.613693,261.405368,
106000,384.931043,244.855154,1334.676365,265.896738,
107000,384.036980,244.965614,1336.530983,265.917790,
108000,383.882621,245.862454,1337.295677,265.560491,
109000,386.075769,244.761760,1333.561747,265.924356,
110000,380.902258,245.374138,1337.256002,265.938800,
111000,381.880299,244.358296,1338.865689,265.902657,
112000,381.418133,246.066236,1337.952431,265.882315,
113000,384.018053,246.583294,1391.814186,277.015101,
114000,400.053341,256.034211,1393.745233,276.971966,
115000,399.526135,255.666913,1393.145759,276.916926,
116000,400.498552,253.647829,1388.972065,276.989792,
117000,400.409304,254.911403,1392.061698,276.987324,
118000,399.038254,255.675232,1391.640690,276.965400,
119000,398.778871,253.847712,1393.377286,277.000574,
120000,400.120032,255.862992,1391.772307,276.911150,
121000,399.072569,255.712858,1393.672082,276.877738,
122000,401.593203,249.191660,1447.710244,288.064682,
123000,416.326778,266.354838,1449.002192,288.106811,
124000,414.084209,265.670827,1448.598182,288.048541,
125000,413.682635,264.597861,1392.230241,288.089459,
126000,415.952773,265.897395,1450.493231,288.076382,
127000,412.730293,265.011214,1449.077018,288.041950,
128000,416.406411,263.217960,1448.455396,288.096225,
